CNPJ_FUNDO;DT_COMPTC;VL_TOTAL;VL_QUOTA;VL_PATRIM_LIQ;CAPTC_DIA;RESG_DIA;NR_COTST
00.000.746/0001-03;2011-12-01;1412615.35;237.025450600000;1401314.04;0.00;0.00;104
00.000.746/0001-03;2011-12-02;1405230.03;236.246254800000;1396707.37;0.00;0.00;104
00.000.746/0001-03;2011-12-05;1433557.83;240.523213000000;1421993.10;0.00;0.00;104
00.000.746/0001-03;2011-12-06;1445824.97;242.563686900000;1434056.55;0.00;0.00;104
00.000.746/0001-03;2011-12-07;1425061.92;239.022552300000;1413121.07;0.00;0.00;104
00.000.746/0001-03;2011-12-08;1394348.65;233.793258000000;1382205.05;0.00;0.00;104
00.000.746/0001-03;2011-12-09;1414347.64;237.142242000000;1402004.52;0.00;0.00;104
00.000.746/0001-03;2011-12-12;1390261.88;233.034163300000;1377717.22;0.00;0.00;104
00.000.746/0001-03;2011-12-13;1392216.89;233.331180500000;1379473.21;0.00;0.00;104
00.000.746/0001-03;2011-12-14;1369174.43;229.399320700000;1356227.73;0.00;0.00;104
00.000.746/0001-03;2011-12-15;1360150.34;227.847485100000;1347053.15;0.00;0.00;104
00.000.746/0001-03;2011-12-16;1354802.91;226.909243800000;1341506.19;0.00;0.00;104
00.000.746/0001-03;2011-12-19;1335442.98;223.600954500000;1321947.31;0.00;0.00;104
00.000.746/0001-03;2011-12-20;1375314.07;230.311647300000;1361621.48;0.00;0.00;104
00.000.746/0001-03;2011-12-21;1367638.48;228.979358700000;1353744.88;0.00;0.00;104
00.000.746/0001-03;2011-12-22;1382396.37;231.441726200000;1368302.60;0.00;0.00;104
00.000.746/0001-03;2011-12-23;1390274.72;232.745400500000;1376010.03;0.00;0.00;104
00.000.746/0001-03;2011-12-26;1388748.99;232.474029100000;1374405.66;0.00;0.00;104
00.000.746/0001-03;2011-12-27;1394197.72;233.362090100000;1379655.95;0.00;0.00;104
00.000.746/0001-03;2011-12-28;1359587.41;227.474268100000;1344846.66;0.00;0.00;104
00.000.746/0001-03;2011-12-29;1367478.86;228.776025900000;1352542.76;0.00;0.00;104
00.000.746/0001-03;2011-12-30;1367400.41;228.729577000000;1352268.15;0.00;0.00;104
00.000.777/0001-56;2011-12-01;13856081.15;8.804512000000;13726054.34;0.00;11356.24;16080
00.000.777/0001-56;2011-12-02;13775866.77;8.805297000000;13709486.82;0.00;17791.49;16077
00.000.777/0001-56;2011-12-05;13729551.47;8.807008000000;13710732.04;0.00;1419.45;16075
00.000.777/0001-56;2011-12-06;13734129.99;8.808216000000;13712071.05;0.00;541.86;16073
00.000.777/0001-56;2011-12-07;13730266.70;8.809619000000;13703965.62;0.00;10288.52;16072
00.000.777/0001-56;2011-12-08;13735009.99;8.810220000000;13704469.59;0.00;430.82;16072
00.000.777/0001-56;2011-12-09;13731773.08;8.811122000000;13696992.28;0.00;8881.20;16070
00.000.777/0001-56;2011-12-12;13725693.22;8.812446000000;13696020.15;0.00;3029.95;16069
